id,name,address,postalcode,lat,lng
245,Jurong West Hawker Centre,50 Jurong West Street 61 S(648202),Singapore (648202),1.33833,103.69855
246,Pasir Panjang Food Centre,121 Pasir Panjang Road S(118543),Singapore (118543),1.27616,103.79125
247,Taman Jurong Market & Food Centre,3 Yung Sheng Road S(618499),Singapore (618499),1.33468,103.72141
248,Timbre + Ayer Rajah Crescent Hawker Centre,73A Ayer Rajah Crescent S(139957),Singapore (139957),1.29744,103.7875
249,Buona Vista MRT station,301 South Buona Vista Road S(118177),Singapore (118177),1.29326,103.78447
250,Gul Circle Station,7A Tuas Road S(637288),Singapore (637288),1.3139,103.65532
251,Haw Par Villa MRT station,200 Holland Avenue S(278995),Singapore (278995),1.31624,103.788811
252,Kent Ridge MRT station,100 North Buona Vista Road S(139345),Singapore (139345),1.30728,103.79006
253,Labrador Park MRT station,100 Cluny Park Road S(257494),Singapore (257494),1.32218,103.81473
254,One North MRT station,9 Ayer Rajah Avenue S(138647),Singapore (138647),1.29879,103.78701
255,Pasir Panjang MRT station,71 Farrer Road S(268857),Singapore (268857),1.31741,103.80729
256,Telok Blangah MRT station,38 Toa Payoh Rise S(298113),Singapore (298113),1.33767,103.83948
257,Tuas Crescent MRT Station,90 Pioneer Road S(639608),Singapore (639608),1.32447,103.645332
258,Tuas Link MRT Station,20 Tuas West Drive S(638418),Singapore (638418),1.33263,103.63402
259,Tuas West MRT Station,131 Pioneer Road S(639609),Singapore (639609),1.325798,103.647781
260,Jurong Eco Garden,1 Cleantech Loop Singapore S(637141),Singapore (637141),1.35558,103.6923
261,Samwoh Eco Green Building,51 Kranji Crescent S(728661),Singapore (728661),1.4323,103.74976
262,Depot Height Shopping Centre,108 Depot Road S(100108),Singapore (100108),1.2812,103.81027
263,Gek Poh Shopping Centre,Blk 762 Jurong West Street 75 S(640762),Singapore (640762),1.34871,103.69788
264,Greenridge Shopping Centre,524A Jelapang Road S(671524),Singapore (671524),1.38533,103.76625
265,Greenridge Shopping Centre,524A Jelapang Road S(671524),Singapore (671524),1.38533,103.76625
266,Jurong Point Shopping Centre,1 Jurong West Central 2 #03-07 Jurong Point Shopping Centre S(648886),Singapore (648886),1.33954,103.70691
267,Limbang Shopping Centre,532 Choa Chu Kang Street 51 S(680532),Singapore (680532),1.39129,103.74358
268,Pasir Ris West Plaza,Blk 735 Pasir Ris Street 72 S(510735),Singapore (510735),1.37927,103.93595
269,Pioneer Mall,638 Jurong West Street 61 S(640638),Singapore (640638),1.34167,103.69721
270,Sunshine Place,475 Choa Chu Kang Avenue 3 S(680475),Singapore (680475),1.37787,103.73903
271,Taman Jurong Shopping Centre,Blk 399 Yung Sheng Road (Near Party World/NTUC)(610399),Singapore (610399),1.33452,103.72058
272,Yew Tee Square,624 Choa Chu Kang Street 62 S(680624),Singapore (680624),1.3979,103.74695
